college,您的年級是？(文),您的年級是？(理),您的年級是？(管),您的年級是？(海),您的年級是？(社),您的年級是？(工),您的年級是？(西),您來自哪一個學系呢？(文),您來自哪一個學系呢？(理),您來自哪一個學系呢？(工),您來自哪一個學系呢？(管),您來自哪一個學系呢？(海),您來自哪一個學系呢？(社),您的性別,是否為外籍生？,來自哪一個國家呢？,請問您是否有參加過多益的考試呢？,toeic_total,toeic_listening,toeic_year,是否有考托福／雅思？,toefl,ielts,self_study,bilingual_year,confident_level ,have_english,該堂課為必修或選修？,該堂課之課名為？,Course by subject,您對該堂課採用英文授課的看法偏向？,您是否還有修過其他英文授課之課程？,該堂課為必修或選修？,該堂課之課名為？,Course by Subject,您對該堂課採用英文授課的看法偏向？,您是否還有修過其他英文授課之課程？,該堂課為必修或選修？,該堂課之課名為？,Course by subject,您對該堂課採用英文授課的看法偏向？,yes_no,agree英文授課的原因 - 我的英文好棒棒，能夠應付得來，甚至有點期待英語授課！,agree英文授課的原因 - 未來出路有可能會用到英文（e.g. 出國留學、工作要求）,agree英文授課的原因 - 可以藉由英文授課的時間練習英文(平常可能抽不出時間) ,agree英文授課的原因 - 英語授課比較容易接軌國際,agree英文授課的原因 - 可以直接吸收專業知識,agree英文授課的原因 - 對英文出題的考試有幫助,還有其他原因導致您agree英文授課嗎？,not agree英文授課的原因 - 我的英文死透透了，真的不是太期待用英文上課,not agree英文授課的原因 - 專業知識用中文都不太好理解了，還用英文解釋！？,not agree英文授課的原因 - 作業／考試／報告要用英文寫很痛苦,not agree英文授課的原因 - 我會因為英文而無法發揮自己的實力,not agree英文授課的原因 - 入學時，大家的英語程度都不一樣，與其用英語授課，不如先加強基礎教育（e.g. 英語口說、通識英文）,not agree英文授課的原因 - 擔心聽不懂老師說的英文(e.g. 發音),not agree英文授課的原因 - 我覺得英文對我的未來沒有幫助,還有其他原因導致您not agree英文授課嗎？
Management,,,大三,,,,,,,,財管系,,,生理女,否,,是,745,400,2018,否,,,15,2,4,是,選修,從英語學習多元文化,Social Sciences & Management,非常agree,否,,,,,,,,,,agree,非常不同意,同意,非常同意,普通,不同意,不同意,,,,,,,,,
Management,,,大一,,,,,,,,資管系,,,生理男,否,,是,765,400,2020,否,,,0,0,4,是,必修,程式設計,Engineering and Technology,not agree,否,,,,,,,,,,not agree,,,,,,,,普通,非常同意,同意,同意,同意,普通,非常不同意,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,是,775,430,2021,否,,,2,3,5,是,必修,統計學,Social Sciences & Management,not agree,否,,,,,,,,,,not agree,,,,,,,,普通,非常同意,非常同意,同意,非常同意,同意,不同意,
Science,,大三,,,,,,,應數系,,,,,生理男,否,,否,,,,否,,,5,6以上,4,是,必修,英文中高級,Arts & Humanities,agree,否,,,,,,,,,,agree,普通,非常同意,非常同意,不同意,同意,同意,語言只要不用就會忘，英文課多少有複習作用。,,,,,,,,
Science,,大二,,,,,,,化學系,,,,,生理女,否,,否,,,,否,,,0,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,大二,,,,,,,化學系,,,,,生理女,否,,否,,,,否,,,7,6以上,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,是,750,400,2018,否,,,1,6以上,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大三,,,,,,,,資管系,,,生理女,否,,是,880,450,2018,有考托福,95,,0,0,9,是,選修,科學的本質,Natural Sciences,非常agree,是,選修,地球生命概論,Natural Sciences,非常agree,否,,,,,agree,非常同意,非常同意,非常同意,非常同意,不同意,非常同意,,,,,,,,,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,否,,,,否,,,0,0,0,是,必修,統計學,Social Sciences & Management,非常not agree,否,,,,,,,,,,not agree,,,,,,,,非常同意,非常同意,非常同意,同意,同意,同意,非常同意,
Science,,大三,,,,,,,生科系,,,,,生理女,否,,是,900,480,2020,否,,,6,6以上,6,是,選修,探尋建築工藝中的高雄故事,Arts & Humanities,agree,是,選修,古生物學與古生態學（*授課教師為外籍老師，似乎不會說中文）,Life Sciences & Medicine,非常agree,否,,,,,agree,普通,非常同意,普通,普通,非常同意,同意,,,,,,,,,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,是,670,300,2019,否,,,0,0,2,是,必修,統計學(二),Social Sciences & Management,not agree,是,選修,地球生命概論,Natural Sciences,agree,否,,,,,not agree,,,,,,,,同意,非常同意,同意,非常同意,非常同意,普通,非常不同意,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,否,,,,否,,,2,0,5,是,選修,地球生命概論,Natural Sciences,agree,是,選修,全球化社會的道德理論,Social Sciences & Management,agree,是,必修,統計學,Social Sciences & Managemen,not agree,agree,普通,同意,同意,同意,普通,同意,,,,,,,,,
Social Science,,,,,大二,,,,,,,,政經系,生理女,否,,是,850,410,2019,否,,,8,0,3,是,選修,"古代俠義愛情怪異小說（太長了記不清楚）
",Arts & Humanities,非常agree,是,選修,西洋文學概論,Arts & Humanities,agree,否,,,,,agree,同意,非常同意,非常同意,同意,普通,普通,,,,,,,,,
Science,,大二,,,,,,,化學系,,,,,生理女,否,,否,,,,否,,,0,6以上,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大三,,,,,,,,資管系,,,生理男,否,,是,605,260,2018,否,,,1,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,大二,,,,電機系,,,,生理女,否,,是,660,330,2019,否,,,3,0,4,是,必修,高級英文,Arts & Humanities,agree,否,,,,,,,,,,agree,普通,非常同意,同意,同意,同意,同意,沒有,,,,,,,,
Science,,大二,,,,,,,化學系,,,,,生理女,否,,是,900,450,2019,否,,,0,6以上,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,大二,,,,,,,應數系,,,,,生理男,否,,否,,,,否,,,3,0,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,大三,,,,機電系,,,,生理男,否,,否,,,,否,,,0,3,4,是,必修,英文高級,Arts & Humanities,非常agree,是,選修,歌舞電影與戲劇,Arts & Humanities,not agree,否,,,,,not agree,,,,,,,,普通,非常同意,同意,同意,同意,非常同意,不同意,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,是,850,495,2019,否,,,0,0,7,是,必修,統計,Social Sciences & Management,非常not agree,否,,,,,,,,,,not agree,,,,,,,,非常同意,非常同意,非常同意,不同意,同意,同意,非常不同意,
Management,,,大一,,,,,,,,資管系,,,生理女,否,,是,905,480,2019,否,,,3,6以上,5,是,選修,科技英文,Arts & Humanities,agree,否,,,,,,,,,,agree,同意,非常同意,同意,普通,不同意,同意,無,,,,,,,,
Management,,,大一,,,,,,,,資管系,,,生理女,否,,是,685,300,2018,否,,,4,0,5,是,選修,跨文化美學與人文概論,Arts & Humanities,非常agree,否,,,,,,,,,,not agree,,,,,,,,普通,非常同意,非常同意,同意,普通,同意,非常不同意,無
Management,,,大三,,,,,,,,資管系,,,生理女,否,,是,915,490,2020,有考托福,90,,5,0,7,是,選修,歐洲文藝復興之歷史與文化,Arts & Humanities,非常agree,是,選修,歐美經典短篇,Arts & Humanities,非常agree,否,,,,,agree,普通,同意,同意,同意,普通,同意,,,,,,,,,
Ocean,,,,大一,,,,,,,,海資系,,生理女,否,,是,670,300,2020,否,,,0,5,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大四,,,,,,,,資管系,,,生理男,否,,是,845,450,2021,否,,,15,6以上,7,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大二,,,,,,,,資管系,,,生理男,否,,否,,,,否,,,0,0,4,是,必修,統計學,Social Sciences & Management,not agree,否,,,,,,,,,,not agree,,,,,,,,普通,非常同意,普通,普通,普通,普通,非常不同意,
Ocean,,,,大一,,,,,,,,海資系,,生理女,否,,否,,,,否,,,3,0,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,大四,,,,,,,生科系,,,,,生理女,否,,否,,,,否,,,5,1,5,是,必修,英文中高級,Arts & Humanities,agree,否,,,,,,,,,,agree,同意,同意,同意,同意,同意,同意,許多課程以外的活動 例如 自學園的活動,,,,,,,,
Management,,,大一,,,,,,,,資管系,,,生理女,否,,是,800,410,2020,否,,,3,6以上,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大二,,,,,,,,企管系,,,生理女,否,,是,700,200,2010,有考托福,90,,6,6以上,6,是,選修,多媒體英文,Social Sciences & Management,agree,否,選修,科學的本質,Natural Sciences,,,,,,,agree,普通,非常同意,非常同意,非常同意,普通,普通,,,,,,,,,
Management,,,大三,,,,,,,,資管系,,,生理男,否,,是,895,450,2021,否,,,2,0,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大三,,,,,,,,資管系,,,生理女,否,,是,780,300,2018,否,,,0,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大二,,,,,,,,財管系,,,生理男,否,,否,,,,否,,,10,2,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西灣學院,,,,,,,大一,,,,,,,生理女,否,,是,600,300,2020,否,,,6,6以上,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean,,,,大一,,,,,,,,海工系,,生理男,否,,是,670,350,2019,否,,,0,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,否,,,,否,,,4,3,5,是,必修,統計學（二）,Social Sciences & Management,非常not agree,否,,,,,,,,,,not agree,,,,,,,,不同意,非常同意,普通,不同意,不同意,同意,非常不同意,
Social Science,,,,,大一,,,,,,,,社會系,生理男,是,日本,是,770,350,2019,否,,,10,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大一,,,,,,,,企管系,,,生理女,否,,否,,,,否,,,3,6,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大一,,,,,,,,財管系,,,生理女,否,,否,,,,否,,,1,0,1,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大二,,,,,,,,資管系,,,生理男,否,,是,795,300,2019,否,,,0,4,4,是,必修,統計,Social Sciences & Management,非常not agree,否,,,,,,,,,,not agree,,,,,,,,不同意,非常同意,非常同意,不同意,不同意,非常同意,非常同意,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,是,830,380,2019,否,,,10,1,4,是,必修,統計學,Social Sciences & Management,沒意見,否,,,,,,,,,,agree,普通,同意,非常同意,普通,同意,同意,,,,,,,,,
Management,,,大三,,,,,,,,資管系,,,生理男,否,,是,810,430,2020,否,,,2,0,5,是,選修,透過實用性英語增進溝通能力,Social Sciences & Management,非常agree,否,,,,,,,,,,not agree,,,,,,,,普通,非常同意,同意,同意,非常不同意,普通,不同意,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,是,725,365,2019,否,,,0,0,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,是,740,380,2019,否,,,4,4,6,是,必修,統計學,Social Sciences & Management,沒意見,否,,,,,,,,,,not agree,,,,,,,,不同意,非常同意,同意,同意,同意,同意,非常不同意,
Social Science,,,,,大三,,,,,,,,政經系,生理女,否,,是,700,350,2020,有考雅思,,6,10,4,8,是,選修,全球化倫理道德,Social Sciences & Management,agree,否,,,,,,,,,,agree,非常同意,非常同意,非常同意,非常同意,同意,普通,,,,,,,,,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,是,825,395,2020,否,,,1,0,3,是,必修,統計學,Social Sciences & Management,沒意見,否,,,,,,,,,,agree,不同意,同意,非常同意,同意,普通,非常不同意,,,,,,,,,
Management,,,碩班,,,,,,,,,,,生理女,否,,是,990,495,2020,托福、雅思皆考過,90,7.5,0,1,9,是,選修,Thesis Writing,Social Sciences & Management,沒意見,是,必修,"International Human Resource Management
",Social Sciences & Management,沒意見,是,必修,"Research Method 
",Social Sciences & Managemen,非常not agree,agree,普通,同意,同意,非常同意,同意,同意,基本技能也提升自己的價值,,,,,,,,
Engineering,,,,,,大二,,,,電機系,,,,生理男,否,,是,735,280,2019,否,,,2,0,5,是,必修,線性代數,Natural Sciences,非常not agree,是,必修,訊號系統,Engineering and Technology,非常not agree,是,選修,科學的本質,Natural Sciences,agree,not agree,,,,,,,,不同意,同意,不同意,不同意,同意,不同意,非常不同意,老師英文很爛，無法完整表達一個句子，無法精確的表達一個一個新名詞的定義
Science,,大一,,,,,,,生科系,,,,,生理女,否,,否,,,,否,,,13,6以上,8,是,必修,普生,Life Sciences & Medicine,not agree,否,,,,,,,,,,not agree,,,,,,,,不同意,非常同意,非常同意,普通,同意,普通,不同意,教授有些單字自己都不會了
Management,,,大一,,,,,,,,財管系,,,生理女,否,,是,680,340,2019,否,,,1,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大一,,,,,,,,財管系,,,生理女,是,香港,否,,,,否,,,1,3,0,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,大三,,,,,,,生科系,,,,,生理女,否,,否,,,,否,,,10,2,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大一,,,,,,,,財管系,,,生理女,否,,是,695,300,2019,否,,,2,0,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,否,,,,否,,,1,0,2,是,必修,統計學,Social Sciences & Management,not agree,否,,,,,,,,,,not agree,,,,,,,,非常同意,非常同意,同意,非常同意,非常同意,普通,普通,
Management,,,大一,,,,,,,,企管系,,,生理女,否,,是,690,465,2019,否,,,4,0,3,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大一,,,,,,,,財管系,,,生理女,否,,是,745,375,2015,有考雅思,,8,0,6以上,9,是,選修,跨文化人文思潮與美學導論,Arts & Humanities,非常agree,否,,,,,,,,,,agree,同意,非常同意,普通,非常同意,非常同意,非常同意,,,,,,,,,
Social Science,,,,,大一,,,,,,,,社會系,生理男,否,,是,700,350,2020,否,,,0,6,5,是,選修,全球化導論,Social Sciences & Management,沒意見,否,,,,,,,,,,not agree,,,,,,,,不同意,同意,不同意,普通,同意,普通,非常不同意,排擠本土語言原本就弱勢的空間
Management,,,大一,,,,,,,,財管系,,,生理女,否,,否,,,,否,,,2,6以上,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,大二,,,,資工系,,,,生理女,否,,是,695,345,2019,否,,,7,0,5,是,選修,英文中高級,Arts & Humanities,agree,是,選修,Python,Engineering and Technology,agree,否,,,,,not agree,,,,,,,,普通,同意,普通,同意,同意,同意,不同意,英文授課的師資難短期內培育
Engineering,,,,,,大一,,,,材光系,,,,生理男,否,,是,650,350,2018,否,,,14,0,6,是,必修,光學概論,Natural Sciences,not agree,否,,,,,,,,,,not agree,,,,,,,,非常不同意,普通,普通,不同意,普通,同意,非常不同意,老師的英文太硬要
Science,,大一,,,,,,,生科系,,,,,生理女,否,,是,720,359,2020,否,,,2,5,9,是,選修,成功的英文寫作,Arts & Humanities,非常agree,否,,,,,,,,,,agree,非常同意,非常同意,非常同意,非常同意,普通,普通,,,,,,,,,
Management,,,大一,,,,,,,,企管系,,,生理女,否,,是,710,325,2021,否,,,1,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,,,,,,大四,,,,電機系,,,,生理男,否,,否,,,,否,,,13,1,7,是,選修,自信說英文,Social Sciences & Management,非常agree,否,,,,,,,,,,agree,同意,同意,非常同意,同意,非常同意,普通,訓練頭腦,,,,,,,,
Ocean,,,,大一,,,,,,,,海資系,,生理女,否,,是,735,350,2020,否,,,3,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean,,,,大一,,,,,,,,海資系,,生理女,否,,是,850,450,2021,否,,,1,0,3,是,選修,觀光英語,Social Sciences & Management,agree,否,,,,,,,,,,not agree,,,,,,,,同意,非常同意,非常同意,普通,同意,同意,不同意,
Ocean,,,,大一,,,,,,,,海資系,,生理女,否,,是,715,400,2020,否,,,1,3,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大二,,,,,,,,資管系,,,生理女,否,,是,770,350,2019,否,,,0,0,6,是,必修,統計學,Social Sciences & Management,not agree,否,,,,,,,,,,not agree,,,,,,,,不同意,同意,普通,普通,同意,不同意,不同意,沒有餒
Art,大二,,,,,,,中文系,,,,,,生理女,否,,是,715,345,2019,否,,,0,0,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean,,,,大一,,,,,,,,海資系,,生理女,否,,是,835,440,2020,否,,,2,2,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Science,,,,,大四,,,,,,,,社會系,生理男,否,,是,795,420,2018,否,,,0,0,7,是,必修,英文中高級,Arts & Humanities,not agree,否,,,,,,,,,,not agree,,,,,,,,同意,非常同意,非常同意,同意,非常同意,非常同意,不同意,在沒有相關的語言文化的情況下，用全英文的方式授課，不僅無法達到提升英語能力的目標，反而徒增學生的學習壓力，而且雙語教育背後所隱含的階級問題相當嚴重。
Social Science,,,,,大二,,,,,,,,政經系,生理男,否,,是,695,410,2019,否,,,12,3,5,是,選修,觀光英語,Social Sciences & Management,agree,否,,,,,,,,,,agree,普通,非常同意,非常同意,同意,同意,同意,,,,,,,,,
Management,,,碩班,,,,,,,,,,,生理女,否,,是,795,400,2021,否,,,10,0,4,是,必修,國際企業管理,Social Sciences & Management,agree,是,必修,企業倫理與社會責任,Social Sciences & Management,沒意見,否,,,,,not agree,,,,,,,,普通,同意,普通,同意,非常同意,非常同意,非常不同意,其實也不是not agree英文授課，但是如果一下子專業課就進入全英文模式，真的真的會讓人措手不及，所以我是建議學校可以開放選英文加強課，然後讓大家可以修習英文課、一邊學習專業課，相輔相成我相信全英文課會非常有幫助。
Management,,,大二,,,,,,,,企管系,,,生理女,否,,是,835,425,2020,有考雅思,,6,1,4,6,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,大三,,,,,,,化學系,,,,,生理女,否,,是,825,390,2018,否,,,3,0,9,是,選修,百老匯表演與戲劇藝術,Arts & Humanities,非常agree,否,,,,,,,,,,agree,非常同意,同意,非常同意,非常同意,同意,非常同意,,,,,,,,,
Science,,大一,,,,,,,應數系,,,,,生理男,否,,否,,,,否,,,0,6以上,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,,大一,,,,,,,應數系,,,,,生理男,否,,否,,,,否,,,7,2,5,是,必修,中級英文,Arts & Humanities,沒意見,否,,,,,,,,,,not agree,,,,,,,,普通,同意,同意,同意,同意,普通,不同意,老師太差
Science,,大四,,,,,,,應數系,,,,,生理男,否,,是,625,275,2020,否,,,10,6以上,4,是,選修,英語聽講,Arts & Humanities,agree,是,必修,高級英文,Arts & Humanities,agree,否,,,,,agree,普通,普通,同意,同意,同意,同意,練習聽力,,,,,,,,
Management,,,大四,,,,,,,,財管系,,,生理女,否,,是,700,380,2021,否,,,7,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Science,,,,,大四,,,,,,,,政經系,生理女,否,,是,860,450,2013,有考托福,80,,0,6,7,是,選修,國際現勢與公民視野,Social Sciences & Management,agree,否,,,,,,,,,,agree,非常同意,同意,同意,非常同意,同意,同意,,,,,,,,,
Science,,大二,,,,,,,應數系,,,,,生理男,否,,是,625,375,2020,否,,,2,5,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西灣學院,,,,,,,大一,,,,,,,生理女,否,,否,,,,否,,,3,0,1,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,大四,,,,,,,,資管系,,,生理女,否,,否,,,,有考托福,85,,0,0,4,是,選修,西方文藝理論（外文系的課）,Arts & Humanities,非常agree,否,,,,,,,,,,not agree,,,,,,,,非常不同意,非常同意,普通,同意,非常同意,普通,不同意,
Social Science,,,,,大三,,,,,,,,政經系,生理女,否,,是,630,315,2017,否,,,1,5,3,是,選修,統計（一）,Social Sciences & Management,沒意見,否,,,,,,,,,,not agree,,,,,,,,普通,非常同意,同意,同意,同意,非常同意,同意,
Management,,,碩班,,,,,,,,,,,生理男,否,,是,710,355,2020,否,,,1,6,5,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,碩班,,,,,,,,,,,生理男,否,,是,895,460,2018,否,,,1,0,4,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
